ges_spec_names,TEFF,LOGG,FEH,LI1
gir_05231610+0130158_H665.0.fit,4092.46,4.73,-0.2,0.24
gir_05233008+0147016_H665.0.fit,4234.17,4.75,0.0,0.31
gir_05240763+0123484_H665.0.fit,4560.25,4.69,0.08,0.04
gir_05241778+0124412_H665.0.fit,6303.0,4.24,0.13,3.42
gir_05242648+0126492_H665.0.fit,5966.0,4.15,0.06,3.51
gir_05250017+0138298_H665.0.fit,6948.0,4.11,-0.02,2.47
gir_05250126+0155385_H665.0.fit,5947.0,4.13,0.02,3.33
gir_05253146+0132086_H665.0.fit,5337.0,4.68,-0.28,0.98
gir_05264103+0055039_H665.0.fit,4018.12,4.62,0.03,0.17
gir_08472902-4128310_H665.0.fit,6797.0,4.24,0.11,3.28
gir_08475236-4121216_H665.0.fit,6815.0,4.12,-0.03,3.29
gir_08484529-4131584_H665.0.fit,4507.0,4.71,0.02,0.2
gir_08484552-4126459_H665.0.fit,4907.0,2.81,0.06,0.73
gir_08484912-4127515_H665.0.fit,6174.0,4.18,-0.03,2.9
gir_08484960-4119570_H665.0.fit,6297.0,3.98,-0.12,2.02
gir_08485285-4149312_H665.0.fit,5129.0,4.6,0.06,2.37
gir_08485812-4126148_H665.0.fit,6312.0,4.11,0.19,2.85
gir_08485861-4134207_H665.0.fit,4572.5,4.58,0.08,0.1
gir_08490061-4127367_H665.0.fit,6362.0,4.18,0.12,2.75
gir_08490818-4148508_H665.0.fit,6095.0,4.12,0.11,1.65
gir_08490978-4120135_H665.0.fit,5736.0,4.32,-0.03,1.34
gir_08492524-4126277_H665.0.fit,6355.0,4.01,0.02,3.12
gir_08493951-4151429_H665.0.fit,6123.0,4.1,0.01,1.79
gir_08495073-4136361_H665.0.fit,5985.0,4.04,-0.12,2.34
gir_08495089-4137116_H665.0.fit,6177.0,4.23,0.0,2.35
gir_08495345-4131242_H665.0.fit,6588.0,4.1,0.1,1.76
gir_08495418-4126388_H665.0.fit,5675.0,3.95,-0.39,2.32
gir_08495763-4150099_H665.0.fit,4655.0,2.83,0.01,0.15
gir_08500200-4139553_H665.0.fit,4876.0,2.79,-0.03,0.5
gir_08500627-4132579_H665.0.fit,4432.46,2.15,-0.29,0.16
gir_08501191-4133091_H665.0.fit,4956.0,2.77,-0.05,0.69
gir_08501202-4136276_H665.0.fit,6924.0,4.07,-0.18,2.89
gir_08501210-4134194_H665.0.fit,5675.0,4.27,0.15,2.59
gir_08501274-4119449_H665.0.fit,5158.0,4.62,-0.01,0.84
gir_08501399-4129240_H665.0.fit,6641.0,4.12,-0.13,2.22
gir_08501609-4126160_H665.0.fit,4737.0,2.67,-0.26,1.32
gir_08502440-4118306_H665.0.fit,6438.0,4.03,-0.03,3.12
gir_08502565-4149187_H665.0.fit,6175.0,4.01,-0.42,2.44
gir_08503314-4134081_H665.0.fit,4489.48,2.43,0.01,0.44
gir_08503391-4133011_H665.0.fit,4566.0,2.41,-0.11,0.01
gir_08503434-4133370_H665.0.fit,5058.0,3.21,-0.04,1.32
gir_08503609-4201067_H665.0.fit,4731.0,2.63,-0.17,1.31
gir_08504094-4205378_H665.0.fit,6327.0,3.89,-0.11,3.16
gir_08504590-4210244_H665.0.fit,4535.85,2.71,0.06,0.06
gir_08504902-4205537_H665.0.fit,6844.0,4.19,0.07,2.91
gir_08505265-4201331_H665.0.fit,6015.0,4.07,-0.5,2.49
gir_08505412-4136081_H665.0.fit,6830.0,4.14,0.04,3.42
gir_08505625-4137161_H665.0.fit,5042.0,3.39,-0.02,0.68
gir_08505821-4156375_H665.0.fit,4889.0,2.82,-0.07,0.71
gir_08505925-4134534_H665.0.fit,4508.42,2.25,-0.2,0.71
gir_08505929-4214411_H665.0.fit,6295.0,3.82,-0.06,3.11
gir_08505983-4200424_H665.0.fit,4504.2,2.26,-0.17,0.93
gir_08510033-4148420_H665.0.fit,4840.0,2.75,-0.12,0.71
gir_08510068-4145246_H665.0.fit,5659.0,4.0,-0.12,2.01
gir_08510101-4200062_H665.0.fit,6870.0,4.3,0.0,3.13
gir_08510546-4158539_H665.0.fit,4373.05,2.24,-0.14,2.91
gir_08510575-4206338_H665.0.fit,4678.0,2.69,0.04,0.33
gir_08511168-4203207_H665.0.fit,4671.0,2.75,-0.03,0.8
gir_08511232-4157275_H665.0.fit,4773.0,2.77,-0.08,1.08
gir_08511503-4200378_H665.0.fit,6416.0,4.07,0.02,2.47
gir_08512065-4206450_H665.0.fit,5008.0,3.06,0.05,0.71
gir_08512174-4218301_H665.0.fit,6097.0,4.15,-0.04,2.91
gir_08512516-4147538_H665.0.fit,5942.0,4.31,-0.04,2.29
gir_08512706-4159060_H665.0.fit,4432.27,2.39,0.1,0.37
gir_08512862-4213174_H665.0.fit,6415.0,4.04,-0.12,2.66
gir_08512874-4201013_H665.0.fit,4594.0,2.45,-0.25,0.68
gir_08513009-4141409_H665.0.fit,6023.0,4.08,-0.07,1.32
gir_08514134-4206250_H665.0.fit,5095.0,3.17,-0.06,1.1
gir_08514279-4139234_H665.0.fit,6589.0,4.03,0.0,2.39
gir_08514756-4208468_H665.0.fit,4583.0,2.45,-0.22,0.25
gir_08514843-4213134_H665.0.fit,6652.0,4.08,-0.08,2.23
gir_08514930-4158398_H665.0.fit,4517.6,2.29,-0.12,0.43
gir_08515151-4144171_H665.0.fit,4122.17,4.8,-0.11,0.46
gir_08515290-4213423_H665.0.fit,5155.0,3.85,0.03,1.6
gir_08515498-4147430_H665.0.fit,5660.0,4.4,0.08,2.07
gir_08515539-4213179_H665.0.fit,5944.0,4.17,0.05,1.28
gir_08515545-4134249_H665.0.fit,6351.0,4.2,0.07,2.21
gir_08520325-4140177_H665.0.fit,6126.0,4.35,0.16,2.66
gir_08520496-4200562_H665.0.fit,4701.0,2.69,0.01,0.36
gir_08521027-4211324_H665.0.fit,6152.0,3.92,-0.15,2.16
gir_08521186-4201338_H665.0.fit,4510.48,2.21,-0.23,0.13
gir_08521376-4139231_H665.0.fit,4637.0,2.73,0.01,0.54
gir_08521434-4144497_H665.0.fit,4496.0,2.21,-0.17,0.17
gir_08521469-4135125_H665.0.fit,6724.0,4.08,-0.09,3.37
gir_08521500-4211081_H665.0.fit,4807.0,4.72,-0.13,0.13
gir_08521863-4142541_H665.0.fit,4730.0,4.7,0.13,0.81
gir_08522303-4201122_H665.0.fit,4665.0,2.53,-0.16,0.25
gir_08522304-4204367_H665.0.fit,4594.0,2.57,-0.12,0.53
gir_08522373-4210280_H665.0.fit,5610.0,4.19,0.04,1.85
gir_08522561-4221241_H665.0.fit,6213.0,4.26,0.31,1.66
gir_08522608-4147443_H665.0.fit,4381.78,2.15,-0.14,0.67
gir_08523226-4221054_H665.0.fit,6301.0,4.09,-0.12,2.63
gir_08523486-4207522_H665.0.fit,5282.0,3.95,-0.1,1.67
gir_08523637-4157147_H665.0.fit,6098.0,4.37,0.15,2.65
gir_08524028-4201470_H665.0.fit,4608.0,2.62,0.06,0.41
gir_08524665-4155007_H665.0.fit,5786.0,4.2,-0.37,2.41
gir_08524892-4152589_H665.0.fit,4596.0,2.87,0.03,0.44
gir_08525016-4140093_H665.0.fit,4829.0,2.72,-0.08,0.62
gir_08525241-4220213_H665.0.fit,5781.0,4.19,-0.02,2.43
gir_08525357-4201157_H665.0.fit,5989.0,4.33,0.15,2.4
gir_08525359-4215019_H665.0.fit,6066.0,4.39,0.16,2.21
gir_08525415-4217075_H665.0.fit,4528.03,4.7,-0.02,0.25
gir_08530084-4225557_H665.0.fit,4746.0,4.58,0.04,0.32
gir_08530124-4220424_H665.0.fit,5396.0,4.37,0.02,1.68
gir_08530363-4223314_H665.0.fit,6677.0,4.21,-0.01,2.47
gir_08530642-4148470_H665.0.fit,6003.0,4.14,-0.06,2.34
gir_08531911-4208294_H665.0.fit,4705.0,2.66,-0.14,0.74
gir_08532201-4209209_H665.0.fit,6601.0,4.08,-0.09,1.71
gir_08532965-4217173_H665.0.fit,5307.0,4.17,0.05,0.93
gir_08533871-4210488_H665.0.fit,4701.0,2.79,-0.03,0.06
gir_08534356-4208157_H665.0.fit,5779.0,4.36,-0.06,1.79
gir_08534608-4223228_H665.0.fit,6726.0,4.05,-0.09,2.07
gir_08535374-4222521_H665.0.fit,5374.0,4.03,0.1,1.5
gir_08535449-4221384_H665.0.fit,6292.0,4.18,0.1,1.76
gir_08540286-4221430_H665.0.fit,5348.0,4.04,0.18,1.31
gir_00004137-2941505_H665.0.fit,4551.11,4.53,-0.0,0.73
gir_00004791-2942225_H665.0.fit,5104.0,4.54,-0.08,0.32
gir_00010266-3016562_H665.0.fit,5144.0,4.65,-0.24,0.48
gir_00010457-2940382_H665.0.fit,5064.0,4.55,-0.41,1.04
gir_00011688-2915062_H665.0.fit,5014.0,4.69,-0.04,0.78
gir_00012471-2917437_H665.0.fit,4813.0,4.52,-0.29,0.28
gir_00013269-2910189_H665.0.fit,5815.0,4.44,-0.12,1.09
gir_00015692-3012079_H665.0.fit,4020.94,4.76,0.05,0.41
gir_00020421-3010344_H665.0.fit,4396.4,4.58,0.03,0.56
gir_00021804-2924052_H665.0.fit,4520.0,4.69,0.02,0.49
gir_00023844-3012178_H665.0.fit,5000.0,4.55,0.02,0.71
gir_00024220-2951412_H665.0.fit,5425.0,4.33,-0.21,1.15
gir_00024676-2942543_H665.0.fit,5012.0,4.45,0.01,0.94
gir_00024721-3034187_H665.0.fit,5296.0,4.38,-0.32,0.96
gir_00024729-2950263_H665.0.fit,4515.94,4.53,0.14,0.39
gir_00024822-2946349_H665.0.fit,4609.0,4.5,-0.01,1.28
gir_00025784-2943173_H665.0.fit,5010.0,4.47,-0.19,0.28
gir_00030528-3012216_H665.0.fit,5688.0,4.22,-0.42,1.42
gir_00030663-2943115_H665.0.fit,4329.93,4.61,0.04,0.67
gir_00031812-3012548_H665.0.fit,5299.0,4.12,-0.43,1.09
gir_00032339-3041232_H665.0.fit,4327.88,4.53,0.0,0.49
gir_00032418-2956229_H665.0.fit,4136.44,4.62,0.11,1.24
gir_00032467-2955146_H665.0.fit,4511.0,4.73,0.02,1.05
gir_00033426-2942081_H665.0.fit,6014.0,4.26,-0.04,2.58
gir_00033874-3023022_H665.0.fit,5085.0,4.67,-0.13,0.95
gir_00034328-3011049_H665.0.fit,5337.0,4.48,0.03,1.24
gir_00041373-2932238_H665.0.fit,5011.0,4.58,-0.02,0.29
gir_00041457-3033427_H665.0.fit,5822.0,4.44,0.19,1.64
gir_00042025-2930270_H665.0.fit,4349.78,4.7,-0.05,0.24
gir_00043113-3038006_H665.0.fit,4605.0,4.57,-0.11,0.09
gir_00043607-2939522_H665.0.fit,4763.0,4.63,-0.19,0.32
gir_00043954-2935200_H665.0.fit,4804.0,4.52,0.01,1.92
gir_00044354-2941048_H665.0.fit,4614.0,4.56,0.0,2.03
gir_00044421-3030334_H665.0.fit,5274.0,4.53,0.09,0.6
gir_00045725-2930391_H665.0.fit,5037.0,4.47,-0.54,0.88
gir_00050238-3041098_H665.0.fit,4624.0,4.62,-0.1,0.03
gir_00051756-2946573_H665.0.fit,4742.0,4.57,-0.01,2.07
gir_00052385-3019547_H665.0.fit,4455.59,4.77,0.08,0.31
gir_00052412-2931140_H665.0.fit,4828.0,4.55,-0.01,0.12
gir_00054037-3022291_H665.0.fit,5187.0,4.49,-0.43,1.25
gir_00061057-2929381_H665.0.fit,5278.0,4.47,-0.23,0.44
gir_00061327-2928273_H665.0.fit,4977.0,4.56,-0.34,0.5
gir_00061723-3034316_H665.0.fit,4061.93,4.77,0.03,0.31
gir_00070097-3036002_H665.0.fit,5810.0,4.3,-0.2,2.02
gir_00071869-3016319_H665.0.fit,4994.0,4.62,-0.22,0.52
gir_00073654-2955414_H665.0.fit,4802.0,4.66,-0.03,0.1
gir_00073739-2945163_H665.0.fit,4463.12,4.72,-0.12,0.01
gir_00073791-2946514_H665.0.fit,5204.0,4.56,-0.01,0.46
gir_00081541-2942336_H665.0.fit,4860.0,4.51,0.02,0.28
gir_00084764-2948588_H665.0.fit,4798.0,4.59,-0.36,0.38
gir_00090139-2947522_H665.0.fit,5702.0,4.34,0.27,1.58
gir_23595826-2940375_H665.0.fit,4603.0,4.68,0.02,0.11
gir_05510597+2148013_H665.0.fit,6303.0,4.06,-0.18,2.45
gir_05510697+2149018_H665.0.fit,5898.0,4.19,-0.33,2.4
gir_05510952+2148428_H665.0.fit,5753.0,4.12,-0.41,1.97
gir_05511020+2151420_H665.0.fit,5972.0,4.04,-0.54,2.41
gir_05511648+2151489_H665.0.fit,5096.0,4.15,-0.4,1.13
gir_05511662+2145340_H665.0.fit,5957.0,4.67,-0.19,2.65
gir_05511795+2151548_H665.0.fit,6003.0,4.0,-0.1,2.15
gir_05511824+2153459_H665.0.fit,5889.0,4.36,-0.42,2.41
gir_05511880+2154538_H665.0.fit,6407.0,4.13,-0.25,2.3
gir_05511964+2147353_H665.0.fit,5865.0,4.36,-0.31,2.67
gir_05512057+2148078_H665.0.fit,4856.0,4.65,0.05,2.0
gir_05512352+2142262_H665.0.fit,4870.0,4.53,0.01,2.01
gir_05512469+2147334_H665.0.fit,5827.0,4.1,0.08,2.56
gir_05512492+2147199_H665.0.fit,6053.0,4.22,-0.37,2.65
gir_05512642+2155035_H665.0.fit,5264.0,3.89,-0.08,1.46
gir_05512675+2141103_H665.0.fit,5237.0,3.42,-0.49,0.88
gir_05512822+2145592_H665.0.fit,4830.0,4.75,0.21,0.38
gir_05512964+2143256_H665.0.fit,5722.0,4.37,0.19,2.08
gir_05513114+2141582_H665.0.fit,5749.0,4.25,-0.31,2.22
gir_05513584+2150125_H665.0.fit,4997.0,3.01,-0.13,0.98
gir_05513681+2146044_H665.0.fit,5572.0,4.61,-0.17,1.42
gir_05513820+2146001_H665.0.fit,6184.0,4.22,-0.36,2.65
gir_05513825+2144310_H665.0.fit,5411.0,4.53,-0.16,1.46
gir_05513917+2154200_H665.0.fit,5165.0,3.58,-0.3,1.58
gir_05514103+2143248_H665.0.fit,6031.0,4.3,-0.01,2.79
gir_05514335+2141089_H665.0.fit,5979.0,4.21,-0.16,2.44
gir_05514389+2147207_H665.0.fit,4918.0,2.96,-0.29,1.27
gir_05514462+2138522_H665.0.fit,5189.0,4.7,-0.25,1.22
